cve_estado,municipio
oax,"Santa Catarina Mechoacán"
oax,"Santiago Tetepec"
oax,"Santa María Huazolotitlán"
oax,"Villa de Tututepec"
oax,"Tataltepec de Valdés"
oax,"San Juan Quiahije"
oax,"San Miguel Panixtlahuaca"
oax,"Santa Catarina Juquila"
oax,"San Pedro Juchatengo"
oax,"Santiago Yaitepec"
oax,"San Juan Lachao"
oax,"Santa María Temaxcaltepec"
oax,"Santos Reyes Nopala"
oax,"San Gabriel Mixtepec"
oax,"San Pedro Mixtepec -Dto. 22 -"
